




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9290
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (512)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
regulation of neuron projection development (GO:0010975)	445	31	11.07	+	2.80	6.71E-03
cellular chemical homeostasis (GO:0055082)	534	37	13.28	+	2.79	6.31E-04
inorganic ion homeostasis (GO:0098771)	521	36	12.96	+	2.78	1.02E-03
cell-cell signaling (GO:0007267)	1083	74	26.93	+	2.75	1.71E-10
locomotion (GO:0040011)	539	36	13.40	+	2.69	2.21E-03
cellular homeostasis (GO:0019725)	641	42	15.94	+	2.63	3.51E-04
taxis (GO:0042330)	520	34	12.93	+	2.63	7.57E-03
neuron development (GO:0048666)	843	55	20.96	+	2.62	4.24E-06
chemical homeostasis (GO:0048878)	916	59	22.78	+	2.59	1.14E-06
cellular response to organic cyclic compound (GO:0071407)	514	33	12.78	+	2.58	1.60E-02
response to organonitrogen compound (GO:0010243)	968	62	24.07	+	2.58	4.18E-07
chemotaxis (GO:0006935)	518	33	12.88	+	2.56	2.90E-02
brain development (GO:0007420)	775	49	19.27	+	2.54	8.14E-05
regulation of anatomical structure morphogenesis (GO:0022603)	924	58	22.98	+	2.52	3.62E-06
regulation of plasma membrane bounded cell projection organization (GO:0120035)	640	40	15.92	+	2.51	2.80E-03
actin filament-based process (GO:0030029)	611	38	15.19	+	2.50	6.29E-03
response to nitrogen compound (GO:1901698)	1062	65	26.41	+	2.46	8.50E-07
regulation of cell projection organization (GO:0031344)	656	40	16.31	+	2.45	4.64E-03
response to organic cyclic compound (GO:0014070)	879	53	21.86	+	2.42	9.28E-05
neuron differentiation (GO:0030182)	1065	64	26.48	+	2.42	2.22E-06
neurogenesis (GO:0022008)	1290	77	32.08	+	2.40	3.76E-08
head development (GO:0060322)	823	49	20.47	+	2.39	4.93E-04
plasma membrane bounded cell projection organization (GO:0120036)	1115	66	27.73	+	2.38	2.45E-06
generation of neurons (GO:0048699)	1134	67	28.20	+	2.38	1.81E-06
regulation of transport (GO:0051049)	1766	103	43.92	+	2.35	1.65E-11
system process (GO:0003008)	2079	121	51.70	+	2.34	3.37E-14
central nervous system development (GO:0007417)	1034	60	25.71	+	2.33	3.27E-05
cell projection organization (GO:0030030)	1161	67	28.87	+	2.32	5.63E-06
homeostatic process (GO:0042592)	1424	81	35.41	+	2.29	1.07E-07
cell development (GO:0048468)	1725	98	42.90	+	2.28	4.65E-10
regulation of localization (GO:0032879)	2104	119	52.32	+	2.27	4.42E-13
anatomical structure formation involved in morphogenesis (GO:0048646)	941	53	23.40	+	2.26	1.06E-03
cellular response to oxygen-containing compound (GO:1901701)	1059	59	26.33	+	2.24	1.82E-04
regulation of cell adhesion (GO:0030155)	789	43	19.62	+	2.19	4.21E-02
response to oxygen-containing compound (GO:1901700)	1551	83	38.57	+	2.15	1.30E-06
nervous system development (GO:0007399)	2191	117	54.49	+	2.15	6.86E-11
cellular response to endogenous stimulus (GO:0071495)	1107	59	27.53	+	2.14	1.08E-03
cell adhesion (GO:0007155)	969	51	24.10	+	2.12	9.65E-03
cell migration (GO:0016477)	903	47	22.46	+	2.09	3.68E-02
regulation of biological quality (GO:0065008)	3677	191	91.44	+	2.09	1.54E-20
cell motility (GO:0048870)	1061	55	26.38	+	2.08	5.73E-03
anatomical structure morphogenesis (GO:0009653)	2237	115	55.63	+	2.07	1.26E-09
nervous system process (GO:0050877)	1465	74	36.43	+	2.03	1.27E-04
G protein-coupled receptor signaling pathway (GO:0007186)	1223	61	30.41	+	2.01	4.48E-03
response to endogenous stimulus (GO:0009719)	1371	68	34.09	+	1.99	1.04E-03
transport (GO:0006810)	3840	186	95.49	+	1.95	2.18E-16
regulation of multicellular organismal development (GO:2000026)	1383	66	34.39	+	1.92	7.44E-03
animal organ development (GO:0048513)	3254	155	80.92	+	1.92	8.05E-12
establishment of localization (GO:0051234)	3997	188	99.40	+	1.89	2.59E-15
regulation of multicellular organismal process (GO:0051239)	2750	128	68.39	+	1.87	3.47E-08
system development (GO:0048731)	3838	177	95.44	+	1.85	4.00E-13
regulation of developmental process (GO:0050793)	2489	114	61.90	+	1.84	2.10E-06
localization (GO:0051179)	4566	209	113.55	+	1.84	1.19E-16
cellular response to organic substance (GO:0071310)	2026	91	50.38	+	1.81	5.48E-04
tissue development (GO:0009888)	1726	77	42.92	+	1.79	1.11E-02
multicellular organism development (GO:0007275)	4228	186	105.14	+	1.77	5.33E-12
cellular response to chemical stimulus (GO:0070887)	2616	115	65.05	+	1.77	1.84E-05
cell surface receptor signaling pathway (GO:0007166)	2174	94	54.06	+	1.74	2.04E-03
response to organic substance (GO:0010033)	2704	116	67.24	+	1.73	6.90E-05
cellular developmental process (GO:0048869)	3542	151	88.08	+	1.71	1.57E-07
cell differentiation (GO:0030154)	3519	150	87.51	+	1.71	1.51E-07
regulation of signaling (GO:0023051)	3381	143	84.08	+	1.70	1.21E-06
multicellular organismal process (GO:0032501)	6581	277	163.65	+	1.69	2.59E-20
signaling (GO:0023052)	5231	219	130.08	+	1.68	4.28E-13
regulation of cell communication (GO:0010646)	3369	139	83.78	+	1.66	1.23E-05
anatomical structure development (GO:0048856)	5144	211	127.92	+	1.65	2.38E-11
cell communication (GO:0007154)	5342	219	132.84	+	1.65	4.18E-12
response to chemical (GO:0042221)	4060	165	100.96	+	1.63	3.85E-07
regulation of cellular component organization (GO:0051128)	2364	95	58.79	+	1.62	3.42E-02
developmental process (GO:0032502)	5677	225	141.17	+	1.59	5.32E-11
signal transduction (GO:0007165)	4887	190	121.53	+	1.56	2.66E-07
cellular response to stimulus (GO:0051716)	6569	244	163.36	+	1.49	2.87E-09
cellular component organization (GO:0016043)	5523	194	137.34	+	1.41	7.56E-04
response to stimulus (GO:0050896)	8209	288	204.14	+	1.41	1.72E-09
cellular component organization or biogenesis (GO:0071840)	5727	194	142.42	+	1.36	1.15E-02
regulation of cellular process (GO:0050794)	11187	354	278.19	+	1.27	1.48E-07
regulation of biological process (GO:0050789)	11806	368	293.59	+	1.25	1.94E-07
biological regulation (GO:0065007)	12544	387	311.94	+	1.24	5.01E-08
cellular process (GO:0009987)	15044	430	374.11	+	1.15	8.24E-05
Unclassified (UNCLASSIFIED)	2725	37	67.76	-	.55	0.00E00
