




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	9356
GO biological process complete	Mus musculus - REFLIST (21997)	upload_1 (478)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
multicellular organismal process (GO:0032501)	7442	274	161.72	+	1.69	3.16E-21
response to chemical (GO:0042221)	3602	131	78.27	+	1.67	1.70E-05
anatomical structure development (GO:0048856)	5341	191	116.06	+	1.65	9.31E-10
developmental process (GO:0032502)	5724	200	124.38	+	1.61	1.09E-09
signaling (GO:0023052)	5487	183	119.23	+	1.53	2.23E-06
cell communication (GO:0007154)	5597	183	121.62	+	1.50	1.15E-05
cellular component organization (GO:0016043)	5412	175	117.60	+	1.49	7.80E-05
cellular component organization or biogenesis (GO:0071840)	5606	176	121.82	+	1.44	7.22E-04
positive regulation of biological process (GO:0048518)	6514	199	141.55	+	1.41	3.84E-04
positive regulation of cellular process (GO:0048522)	5869	177	127.53	+	1.39	1.04E-02
cellular response to stimulus (GO:0051716)	6908	199	150.11	+	1.33	3.25E-02
response to stimulus (GO:0050896)	8804	246	191.31	+	1.29	6.29E-03
regulation of cellular process (GO:0050794)	11607	321	252.22	+	1.27	2.94E-06
regulation of biological process (GO:0050789)	12315	335	267.61	+	1.25	4.20E-06
biological regulation (GO:0065007)	12948	350	281.36	+	1.24	1.11E-06
cellular process (GO:0009987)	15352	395	333.60	+	1.18	2.00E-06
Unclassified (UNCLASSIFIED)	1212	10	26.34	-	.38	0.00E00
